customerID,gender,SeniorCitizen,tenure,PhoneService,InternetService,MonthlyCharges,TotalCharges,Churn
CUST00121,Male,0,8,Yes,DSL,71.27,500.13,Yes
CUST00122,Female,0,5,No,Fiber optic,84.14,429.37,Yes
CUST00123,Female,0,1,Yes,DSL,96.29,100.17,No
CUST00124,Male,0,47,Yes,DSL,42.06,1703.65,No
CUST00125,Male,1,66,No,Fiber optic,61.31,4320.0,No
CUST00126,Male,1,42,Yes,Fiber optic,99.29,4085.42,Yes
CUST00127,Female,0,11,No,No,80.63,830.79,Yes
CUST00128,Female,0,5,Yes,DSL,93.8,498.88,No
CUST00129,Female,0,50,No,DSL,32.09,1430.99,No
CUST00130,Female,1,6,No,Fiber optic,89.74,522.24,Yes
CUST00131,Male,0,21,No,Fiber optic,96.8,2162.63,No
CUST00132,Male,0,0,No,DSL,105.83,,No
CUST00133,Male,0,62,Yes,DSL,25.22,1755.02,No
CUST00134,Female,0,17,No,Fiber optic,68.8,1009.72,No
CUST00135,Male,1,45,No,No,94.71,4322.79,No
CUST00136,Male,0,8,No,DSL,84.02,623.26,No
CUST00137,Male,0,5,No,Fiber optic,77.06,402.98,No
CUST00138,Male,0,31,No,Fiber optic,40.57,1275.59,No
CUST00139,Female,0,42,No,DSL,57.72,2638.57,No
CUST00140,Male,0,18,No,Fiber optic,72.92,1442.42,No
CUST00141,Male,1,16,No,DSL,87.24,1492.79,No
CUST00142,Male,0,36,Yes,Fiber optic,86.91,,No
CUST00143,Male,1,9,No,DSL,71.11,655.74,Yes
CUST00144,Male,1,24,Yes,DSL,94.86,2064.45,No
CUST00145,Female,0,15,No,DSL,59.31,816.21,No
CUST00146,Female,0,0,No,DSL,95.2,,No
CUST00147,Male,0,39,Yes,Fiber optic,89.07,3420.58,Yes
CUST00148,Male,0,39,Yes,Fiber optic,79.98,2784.56,No
CUST00149,Male,0,57,No,No,20.65,618.93,No
CUST00150,Female,0,48,No,DSL,59.47,2566.84,No
CUST00151,Female,0,4,Yes,DSL,73.1,315.9,No
CUST00152,Female,0,17,Yes,DSL,73.99,1265.8,No
CUST00153,Female,0,49,Yes,DSL,53.05,2572.66,No
CUST00154,Female,0,21,No,No,72.09,1572.67,No
CUST00155,Male,1,20,No,Fiber optic,46.88,793.95,Yes
CUST00156,Male,1,22,Yes,Fiber optic,52.45,1370.3,Yes
CUST00157,Male,0,12,Yes,Fiber optic,99.26,1166.8,No
CUST00158,Male,0,61,No,Fiber optic,73.51,3912.76,Yes
CUST00159,Female,0,55,Yes,Fiber optic,94.47,,No
CUST00160,Female,0,23,No,DSL,43.83,1072.25,No
CUST00161,Male,1,50,No,No,34.59,1533.69,No
CUST00162,Male,0,45,No,No,53.39,,No
CUST00163,Male,0,30,No,No,80.31,2478.12,No
CUST00164,Male,1,8,Yes,DSL,89.09,702.82,Yes
CUST00165,Female,0,13,No,Fiber optic,64.89,755.68,No
CUST00166,Male,0,36,No,Fiber optic,94.13,3335.49,Yes
CUST00167,Male,0,33,Yes,Fiber optic,44.78,1662.97,No
CUST00168,Female,0,36,No,DSL,36.62,1376.9,No
CUST00169,Female,0,5,No,Fiber optic,61.55,257.85,No
CUST00170,Male,0,52,Yes,Fiber optic,59.64,3090.24,No
CUST00171,Female,0,24,Yes,Fiber optic,55.8,1365.17,No
CUST00172,Male,0,3,No,Fiber optic,93.26,279.31,No
CUST00173,Male,0,0,Yes,Fiber optic,67.78,,Yes
CUST00174,Female,0,8,No,Fiber optic,88.02,625.98,Yes
CUST00175,Female,0,8,Yes,DSL,106.15,887.2,Yes
CUST00176,Male,0,46,No,Fiber optic,90.95,3902.39,No
CUST00177,Female,1,61,No,Fiber optic,80.81,4815.66,No
CUST00178,Female,0,11,No,Fiber optic,103.77,1150.17,No
CUST00179,Female,1,28,No,Fiber optic,33.53,792.91,No
CUST00180,Male,1,9,No,Fiber optic,95.23,943.85,Yes
CUST00181,Female,0,5,No,Fiber optic,103.55,559.98,Yes
CUST00182,Female,1,70,No,Fiber optic,53.87,4199.66,No
CUST00183,Female,0,9,No,Fiber optic,96.29,825.95,Yes
CUST00184,Female,0,26,Yes,DSL,63.29,1809.52,No
CUST00185,Female,0,8,No,DSL,80.16,566.1,No
CUST00186,Female,0,69,Yes,No,37.73,2659.62,No
CUST00187,Male,0,55,Yes,Fiber optic,87.69,5042.93,No
CUST00188,Female,0,10,No,No,97.1,,No
CUST00189,Female,0,6,No,Fiber optic,74.77,454.3,Yes
CUST00190,Female,0,4,Yes,Fiber optic,60.94,273.1,No
CUST00191,Male,0,65,No,No,95.76,5821.36,No
CUST00192,Female,0,8,Yes,No,85.08,694.12,Yes
CUST00193,Male,0,7,Yes,No,99.01,649.55,No
CUST00194,Female,0,10,Yes,Fiber optic,95.61,,Yes
CUST00195,Female,0,17,Yes,Fiber optic,71.58,1318.91,No
CUST00196,Female,0,7,No,Fiber optic,69.64,,No
CUST00197,Female,0,68,No,Fiber optic,64.03,4215.48,Yes
CUST00198,Female,0,10,No,DSL,61.51,,No
CUST00199,Female,1,64,No,Fiber optic,89.76,5516.82,Yes
CUST00200,Female,0,28,Yes,No,92.7,2358.46,No
CUST00201,Female,0,41,Yes,No,40.7,1368.91,No
CUST00202,Female,0,11,No,No,67.29,761.56,No
CUST00203,Female,0,26,Yes,DSL,73.98,1963.36,No
CUST00204,Male,0,70,Yes,Fiber optic,43.54,3369.62,Yes
CUST00205,Female,0,9,No,No,83.55,788.17,No
CUST00206,Female,0,8,No,Fiber optic,77.01,,Yes
CUST00207,Male,0,49,No,DSL,94.78,4482.89,No
CUST00208,Male,0,54,No,Fiber optic,82.48,4976.28,No
CUST00209,Male,0,0,No,DSL,67.8,,No
CUST00210,Female,0,3,No,DSL,74.95,234.43,Yes
CUST00211,Female,0,15,Yes,DSL,20.59,353.14,No
CUST00212,Male,0,6,Yes,DSL,70.24,449.04,Yes
CUST00213,Male,0,43,Yes,No,20.83,674.26,No
CUST00214,Female,0,6,Yes,Fiber optic,69.91,474.04,No
CUST00215,Female,1,70,Yes,DSL,79.25,5350.18,Yes
CUST00216,Female,0,54,Yes,DSL,23.98,1633.39,No
CUST00217,Female,0,10,No,Fiber optic,69.16,606.51,No
CUST00218,Male,0,44,Yes,DSL,77.56,3222.74,No
CUST00219,Male,1,9,Yes,No,77.93,676.37,Yes
CUST00220,Female,0,12,No,DSL,21.08,233.42,No
CUST00221,Female,0,70,Yes,DSL,54.62,3548.67,No
CUST00222,Male,0,61,Yes,DSL,66.24,3718.38,No
CUST00223,Female,1,63,Yes,DSL,24.59,1342.05,No
CUST00224,Male,0,11,No,Fiber optic,80.47,916.21,No
CUST00225,Male,0,4,No,DSL,75.25,322.51,Yes
CUST00226,Male,0,43,No,Fiber optic,36.07,1448.66,No
CUST00227,Female,0,2,No,Fiber optic,65.79,129.26,No
CUST00228,Female,0,17,No,DSL,46.26,708.82,No
CUST00229,Male,0,39,No,Fiber optic,61.69,2134.33,No
CUST00230,Female,0,40,No,No,28.73,1439.18,No
CUST00231,Male,0,67,Yes,Fiber optic,57.2,4502.16,No
CUST00232,Female,1,44,No,DSL,98.38,4565.46,No
CUST00233,Female,1,62,No,DSL,98.87,5629.15,No
CUST00234,Female,0,6,No,Fiber optic,66.45,360.17,No
CUST00235,Male,0,2,No,Fiber optic,92.75,175.29,Yes
CUST00236,Male,1,10,Yes,Fiber optic,94.49,914.16,No
CUST00237,Male,0,4,Yes,Fiber optic,105.35,425.95,Yes
CUST00238,Female,0,6,Yes,No,89.97,587.62,Yes
CUST00239,Female,0,4,No,No,70.99,289.76,No
CUST00240,Female,0,2,No,Fiber optic,76.03,143.99,Yes
CUST00241,Male,0,46,Yes,No,47.47,2044.23,No
CUST00242,Male,1,10,Yes,DSL,93.63,932.97,Yes
CUST00243,Male,0,12,No,Fiber optic,56.95,607.59,No
CUST00244,Female,0,48,No,Fiber optic,75.98,4105.52,No
CUST00245,Male,0,39,No,Fiber optic,76.01,3153.69,No
CUST00246,Male,0,51,Yes,DSL,78.58,3821.6,No
CUST00247,Female,0,50,No,DSL,48.92,2147.38,No
CUST00248,Male,0,23,Yes,Fiber optic,53.44,1077.54,No
CUST00249,Female,0,53,Yes,Fiber optic,34.43,2351.94,No
CUST00250,Female,1,49,No,No,63.59,3491.69,No
CUST00251,Female,0,0,Yes,Fiber optic,78.52,,Yes
CUST00252,Male,0,6,Yes,DSL,88.02,487.45,No
CUST00253,Male,0,57,Yes,Fiber optic,41.94,1988.53,No
CUST00254,Female,0,38,Yes,DSL,45.91,1921.19,No
CUST00255,Male,0,2,Yes,Fiber optic,62.23,114.85,Yes
CUST00256,Male,0,52,No,Fiber optic,82.29,4185.14,No
CUST00257,Female,0,33,Yes,Fiber optic,40.05,1597.34,No
CUST00258,Male,0,12,Yes,DSL,71.0,921.83,No
CUST00259,Male,1,45,No,DSL,23.72,687.4,No
CUST00260,Male,0,10,No,Fiber optic,86.85,947.88,No
CUST00261,Male,1,56,Yes,Fiber optic,59.2,2794.79,No
CUST00262,Female,0,8,Yes,Fiber optic,66.52,566.13,No
CUST00263,Female,1,9,No,DSL,60.48,524.9,Yes
CUST00264,Female,0,1,No,Fiber optic,86.14,90.89,No
CUST00265,Female,0,55,No,DSL,83.15,4631.8,No
CUST00266,Female,0,22,No,Fiber optic,55.6,1330.08,No
CUST00267,Male,0,6,No,No,79.91,495.98,Yes
CUST00268,Male,0,37,Yes,No,43.77,1636.35,No
CUST00269,Male,0,5,Yes,DSL,72.58,351.98,Yes
CUST00270,Male,0,3,Yes,DSL,80.65,224.19,Yes
CUST00271,Female,0,11,No,Fiber optic,63.7,731.54,No
CUST00272,Male,0,3,Yes,No,89.15,274.97,No
CUST00273,Female,0,13,Yes,DSL,79.51,1010.86,No
CUST00274,Female,1,12,Yes,Fiber optic,26.18,,Yes
CUST00275,Female,1,4,No,DSL,65.19,243.81,Yes
CUST00276,Male,0,63,Yes,DSL,41.99,2028.46,No
CUST00277,Male,0,33,Yes,DSL,37.48,1210.67,No
CUST00278,Male,0,36,No,DSL,45.03,1675.0,No
CUST00279,Female,0,33,No,No,60.51,2319.33,No
CUST00280,Male,0,45,No,DSL,85.59,3669.91,No
CUST00281,Male,0,62,No,No,87.26,5785.01,No
CUST00282,Male,0,19,Yes,DSL,62.25,1274.29,No
CUST00283,Male,0,60,No,Fiber optic,39.72,2029.52,No
CUST00284,Male,0,8,No,Fiber optic,101.99,861.8,Yes
CUST00285,Male,0,6,Yes,DSL,70.91,416.55,Yes
CUST00286,Female,0,59,No,DSL,65.23,4341.5,No
CUST00287,Male,1,38,No,DSL,24.54,750.74,No
CUST00288,Female,0,33,No,Fiber optic,20.55,741.67,No
CUST00289,Male,0,24,Yes,Fiber optic,43.1,,No
CUST00290,Male,1,63,Yes,No,90.19,5294.63,Yes
CUST00291,Female,0,7,Yes,DSL,97.77,723.45,No
CUST00292,Female,0,12,No,Fiber optic,59.41,802.6,Yes
CUST00293,Male,0,0,No,DSL,92.68,,Yes
CUST00294,Female,0,7,No,DSL,60.66,381.93,No
CUST00295,Female,0,70,Yes,Fiber optic,44.26,3065.73,No
CUST00296,Male,0,28,No,No,24.36,630.81,No
CUST00297,Female,0,51,No,No,77.88,3985.5,No
CUST00298,Male,0,11,No,DSL,107.92,1282.15,No
CUST00299,Male,0,15,No,Fiber optic,40.71,692.46,No
CUST00300,Female,0,25,No,Fiber optic,86.93,2053.07,No
CUST00301,Female,0,70,Yes,DSL,35.9,2216.68,No
CUST00302,Male,0,11,Yes,No,75.34,809.84,No
CUST00303,Female,0,38,No,Fiber optic,73.56,2445.61,No
CUST00304,Female,0,65,No,Fiber optic,88.09,5140.02,No
CUST00305,Male,1,59,No,DSL,48.83,2426.39,No
CUST00306,Female,0,56,No,DSL,64.94,3400.11,No
CUST00307,Male,0,39,Yes,No,49.16,1927.08,No
CUST00308,Female,0,10,No,Fiber optic,88.33,819.11,Yes
CUST00309,Female,1,4,Yes,Fiber optic,79.78,320.62,No
CUST00310,Male,0,57,Yes,No,86.48,4462.63,No
CUST00311,Female,0,51,No,DSL,44.91,2058.76,No
CUST00312,Male,0,10,No,Fiber optic,64.44,663.79,No
CUST00313,Male,0,70,Yes,DSL,43.26,3536.0,No
CUST00314,Female,0,1,Yes,No,88.94,94.43,Yes
CUST00315,Male,0,46,No,No,75.34,3149.68,No
CUST00316,Male,0,0,Yes,DSL,107.28,,No
CUST00317,Male,0,2,No,DSL,105.97,216.5,Yes
CUST00318,Female,0,20,No,DSL,63.62,1346.84,No
CUST00319,Male,0,19,Yes,DSL,52.07,1005.61,No
CUST00320,Female,0,61,Yes,DSL,94.84,5181.28,No
CUST00321,Female,0,10,Yes,Fiber optic,81.43,727.1,Yes
CUST00322,Female,0,3,Yes,DSL,63.23,177.93,No
CUST00323,Female,0,43,Yes,No,39.48,2034.44,No
CUST00324,Male,1,62,No,DSL,83.8,4996.39,Yes
CUST00325,Male,0,26,Yes,DSL,31.74,946.26,No
CUST00326,Female,0,19,No,DSL,57.43,1169.01,No
CUST00327,Female,0,8,Yes,No,73.96,643.58,Yes
CUST00328,Male,0,5,Yes,DSL,92.87,,Yes
CUST00329,Male,0,54,Yes,DSL,63.88,,No
CUST00330,Male,0,56,No,Fiber optic,84.16,4913.85,Yes
CUST00331,Male,1,26,No,No,76.78,2049.71,No
CUST00332,Female,1,2,Yes,DSL,80.45,167.79,Yes
CUST00333,Female,0,1,Yes,DSL,78.15,75.34,No
CUST00334,Male,0,55,No,No,84.4,4157.43,No
CUST00335,Male,0,71,Yes,DSL,59.83,4087.13,No
CUST00336,Female,1,47,Yes,DSL,23.31,804.12,No
CUST00337,Female,1,5,Yes,Fiber optic,103.46,517.2,Yes
CUST00338,Female,0,12,No,DSL,24.93,399.31,No
CUST00339,Male,0,65,Yes,No,64.34,4078.68,No
CUST00340,Male,0,65,Yes,Fiber optic,44.76,2359.66,Yes
CUST00341,Male,0,69,No,DSL,76.35,5882.16,No
CUST00342,Female,0,10,Yes,DSL,101.95,942.78,Yes
CUST00343,Male,1,24,No,Fiber optic,85.08,2254.6,No
CUST00344,Male,1,2,Yes,DSL,104.86,200.74,Yes
CUST00345,Male,0,4,No,DSL,77.47,340.82,No
CUST00346,Male,0,30,Yes,DSL,63.51,2140.44,No
CUST00347,Male,0,11,Yes,DSL,76.42,824.23,Yes
CUST00348,Female,0,21,Yes,DSL,77.38,,No
CUST00349,Female,0,4,No,DSL,74.86,266.79,No
CUST00350,Male,0,0,No,Fiber optic,63.81,,Yes
CUST00351,Female,0,4,No,DSL,101.07,408.94,Yes
CUST00352,Female,0,2,Yes,DSL,89.56,161.38,No
CUST00353,Male,0,10,Yes,DSL,75.74,825.71,Yes
CUST00354,Female,1,45,No,Fiber optic,84.6,3401.99,No
CUST00355,Male,0,50,No,No,49.72,2178.38,No
CUST00356,Male,0,2,Yes,DSL,74.96,131.48,Yes
CUST00357,Female,1,1,Yes,DSL,105.36,,No
CUST00358,Male,0,60,Yes,DSL,39.3,2420.45,No
CUST00359,Male,0,12,No,Fiber optic,24.27,190.53,No
CUST00360,Male,0,3,No,DSL,96.84,266.22,Yes
CUST00361,Male,0,3,No,DSL,83.47,,Yes
CUST00362,Female,0,23,Yes,No,94.45,2090.96,No
CUST00363,Female,0,34,Yes,DSL,87.71,3143.97,No
CUST00364,Female,0,7,No,DSL,105.48,801.04,Yes
CUST00365,Female,0,69,Yes,DSL,33.81,2837.45,No
CUST00366,Female,0,9,No,No,74.49,593.43,Yes
CUST00367,Female,1,10,Yes,No,100.34,1062.34,No
CUST00368,Female,0,1,Yes,Fiber optic,65.73,66.34,No
CUST00369,Male,1,4,No,Fiber optic,103.35,431.46,Yes
CUST00370,Female,0,24,No,DSL,80.18,2003.57,No
CUST00371,Male,1,10,No,DSL,60.85,569.98,Yes
CUST00372,Female,1,9,Yes,Fiber optic,106.19,955.63,Yes
CUST00373,Female,0,10,No,Fiber optic,98.08,892.93,No
CUST00374,Male,0,10,No,Fiber optic,79.23,766.46,No
CUST00375,Male,0,24,Yes,DSL,99.16,2228.56,No
CUST00376,Male,0,35,Yes,DSL,96.84,,No
CUST00377,Male,0,6,Yes,DSL,62.55,365.63,No
CUST00378,Female,0,7,Yes,DSL,93.97,706.22,Yes
CUST00379,Female,0,8,No,No,82.38,709.32,No
CUST00380,Male,0,44,Yes,DSL,87.16,3944.55,No
CUST00381,Female,0,59,Yes,DSL,76.27,4517.73,No
CUST00382,Male,0,0,Yes,No,81.97,,No
CUST00383,Male,0,5,Yes,Fiber optic,102.38,540.44,Yes
CUST00384,Male,1,62,No,Fiber optic,48.92,3396.31,Yes
CUST00385,Male,0,23,No,Fiber optic,60.78,1241.32,No
CUST00386,Male,0,43,No,Fiber optic,60.12,2592.37,Yes
CUST00387,Female,0,22,Yes,Fiber optic,55.4,1135.85,No
CUST00388,Female,0,56,Yes,DSL,97.21,5325.23,No
CUST00389,Male,0,5,No,Fiber optic,77.55,414.28,Yes
CUST00390,Female,0,16,No,DSL,99.1,1560.58,No
CUST00391,Female,1,47,Yes,Fiber optic,24.51,776.88,Yes
CUST00392,Male,0,43,No,DSL,85.79,3399.84,No
CUST00393,Male,0,71,No,Fiber optic,25.03,1317.88,No
CUST00394,Female,0,20,Yes,Fiber optic,96.1,1957.56,Yes
CUST00395,Male,0,9,Yes,Fiber optic,103.4,847.36,No
CUST00396,Female,0,9,Yes,Fiber optic,108.5,976.84,No
CUST00397,Female,0,41,No,DSL,25.03,700.55,No
CUST00398,Male,0,57,Yes,DSL,48.93,2439.0,No
CUST00399,Male,0,48,Yes,Fiber optic,93.72,4782.69,No
CUST00400,Female,0,71,No,No,20.59,1819.29,No
CUST00401,Female,1,9,No,No,96.13,857.88,Yes
CUST00402,Female,0,9,Yes,DSL,101.39,887.39,No
CUST00403,Male,0,36,No,DSL,47.2,1530.55,No
CUST00404,Male,0,24,Yes,DSL,81.97,2093.85,No
CUST00405,Female,0,48,No,DSL,92.04,4217.1,No
CUST00406,Male,0,17,Yes,No,88.1,1562.8,No
CUST00407,Female,0,5,No,No,100.0,521.26,No
CUST00408,Female,0,9,Yes,No,106.24,872.74,Yes
CUST00409,Female,1,25,No,Fiber optic,81.01,2266.79,No
CUST00410,Female,0,35,Yes,Fiber optic,52.77,1506.55,No
CUST00411,Female,0,13,No,DSL,86.19,1067.47,No
CUST00412,Male,0,65,No,DSL,90.65,5813.51,No
CUST00413,Female,0,4,No,Fiber optic,63.93,271.96,No
CUST00414,Male,0,0,Yes,Fiber optic,95.02,,Yes
CUST00415,Male,0,71,Yes,No,27.37,1952.17,No
CUST00416,Female,0,8,Yes,Fiber optic,107.92,914.97,No
CUST00417,Male,0,8,No,No,93.06,666.99,No
CUST00418,Female,0,7,No,No,86.37,,Yes
CUST00419,Male,0,18,Yes,DSL,58.91,1125.53,No
CUST00420,Male,0,54,Yes,DSL,67.95,3830.11,No
CUST00421,Male,0,4,No,Fiber optic,101.65,423.6,Yes
CUST00422,Female,0,23,No,DSL,55.81,1177.21,No
CUST00423,Male,0,16,Yes,No,42.02,758.94,No
CUST00424,Female,0,5,Yes,No,90.01,490.53,No
CUST00425,Female,1,2,Yes,Fiber optic,95.93,192.77,Yes
CUST00426,Male,0,5,No,Fiber optic,62.96,332.01,No
CUST00427,Female,0,5,Yes,Fiber optic,109.6,516.81,Yes
CUST00428,Female,0,67,No,DSL,29.95,1834.47,No
CUST00429,Female,0,61,No,No,50.66,3438.06,No
CUST00430,Female,1,49,Yes,DSL,86.53,4262.28,No
CUST00431,Female,0,2,No,No,79.23,156.23,Yes
CUST00432,Male,1,7,Yes,No,85.97,569.4,No
CUST00433,Female,0,6,Yes,No,77.13,455.78,Yes
CUST00434,Male,0,24,No,No,63.2,1749.78,No
CUST00435,Male,0,48,No,Fiber optic,72.67,3942.85,No
CUST00436,Male,0,60,Yes,Fiber optic,33.84,1512.68,No
CUST00437,Female,0,62,No,DSL,62.75,3690.88,No
CUST00438,Male,1,5,Yes,Fiber optic,60.73,352.63,No
CUST00439,Female,0,16,Yes,Fiber optic,23.77,477.74,Yes
CUST00440,Male,0,5,Yes,No,99.15,466.42,Yes
CUST00441,Male,0,65,Yes,DSL,66.98,4676.07,No
